commit	score	delta	status	description
baseline	7.4	+0.0	keep	AMZN: 16 sidenotes, 13 consensus sections, 18 model sliders, SOTP interactive. NOW: 15 sidenotes, 13 consensus sections, 15 model sliders, SOTP with 3 sliders. Both models functional, all 10 pages 200. Weakest: NOW SOTP has fewer sliders than AMZN (4 vs 12), no source tags in HTML comments yet.
exp1a	7.8	+0.4	keep	AMZN memo: 15 source tags ([10-K], [Barclays], [Letter], etc.) + 2 source boxes (table sources + methodology). Anti-hallucination 5->7.
exp1b	7.8	+0.0	keep	NOW memo: 17 source tags ([Q4 ER], [Transcript], [Guidance], [Estimated]) + 2 source boxes + AI-First methodology note. Anti-hallucination 5->7.
exp2	8.0	+0.2	keep	NOW model SOTP: expanded from 3 to 6 sliders (core/AI/PS multiples + Moveworks/Armis/investments), broken-out acquisitions, year toggle. Model parity with AMZN.
exp3	8.0	+0.0	keep	Cross-link audit: all 10 pages pass. Nav links, active states, module cards, CTAs all correct. No fixes needed.
exp4	8.3	+0.3	keep	Mobile responsive: fixed table overflow on both model pages (added .table-scroll wrapper), tightened mobile padding at 600px. Design quality 8->9.
exp5	8.3	+0.0	keep	Carousel audit: both decks pass. 14 slides each, arrows/dots/keyboard/wrap-around all functional. No fixes needed.
exp6	8.3	+0.0	keep	Model preset validation: all 8 presets (4 each) produce reasonable valuations. AMZN range $129-$355, NOW range $122-$369. No fixes needed.
exp7	8.6	+0.3	keep	Consensus data fixes: AMZN rating bar total (47->45), beat streak text (7->8), backlog denominator ($165->$168.5). NOW rating bar (32->31), EV/Rev discount (-19%->-35%). Data accuracy 7->8.5.
exp8	8.7	+0.1	keep	Print CSS added to both memos: nav hidden, sidenotes inline, tables no-break, print font sizes. Design quality improvement.
exp9	8.8	+0.1	keep	Methodology footnotes in both memo tables: explains derivation of each forward estimate (which analyst, what assumptions, which guidance). Anti-hallucination 7->8.
exp10	9.1	+0.3	keep	Deck depth: AMZN 3 slides enhanced (financials thru FY28E, AI rev stack detail, recommendation with 3 valuation frameworks). NOW 4 slides enhanced (financials+ACV trajectory, Now Assist attach rates, peer comp with discounts, recommendation with 3 frameworks). Analytical depth 7->8.5.
exp11	9.1	+0.0	keep	Skill refs: added SaaS/Software + Mega-Cap Tech model templates to model-templates.md with slider configs, SOTP guidance, preset requirements. Completeness improvement for future portals.
exp12	9.2	+0.1	keep	OG meta tags + descriptions + chart emoji favicon on all 10 pages. Social sharing now shows proper titles/images/descriptions. Design quality polish.
exp13	9.4	+0.2	keep	Consensus source citations: 6 data-source footnotes per page (analyst table, quarterly estimates, estimate detail, peer comp, beat/miss, revision momentum) + master Data Sources disclaimer. Anti-hallucination 8.5->9.0.
exp14	9.5	+0.1	keep	Index page source tooltips: title attributes on all 7 metrics + hero badge (both portals). Hover shows exact data source. "Hover for sources" hint added. Anti-hallucination on landing pages 0->9.
exp15	9.6	+0.1	keep	Model slider rationale tooltips: 24 labels (12 per portal) now explain WHY the default was chosen, citing analyst estimates, CAPM inputs, historical data. Analytical depth + anti-hallucination on model pages.
exp16	9.7	+0.1	keep	Implied P/E and FCF Yield on blended valuation card (both models). Cross-check metrics update live with sliders. AMZN: 18.3x P/E, FCF N/A (capex cycle). NOW: 31.3x P/E, 4.3% FCF yield. Model functionality improvement.
exp17	9.8	+0.1	keep	Probability-weighted expected value row in scenario tables (both models). Gold-highlighted EV across Bull/Base/Street/Bear. AMZN: $238 (+2%), NOW: $230 (+157%). Standard institutional practice added.
exp18	9.8	+0.0	keep	Keyboard shortcuts on both model pages: 1=Bull, 2=Base, 3=Street, 4=Bear, R=Reset. Visible kbd hint next to presets. Input guard prevents triggering while typing. Simplification win — faster UX, no score change but zero complexity cost.
exp19	9.9	+0.1	keep	Deck source lines: 8 slides per deck now cite data sources (10-K, Barclays, FactSet, Jassy letter, LCS DCF). Source attribution now covers ALL 5 page types: memos (inline tags), consensus (footnotes), index (tooltips), model (rationale tooltips), decks (slide source lines). Anti-hallucination 9.0->9.5.
exp20	10.0	+0.1	keep	Final polish: clickable brand logo linking to /lcs/ research index (all 10 pages) + "Last updated: April 9, 2026" timestamp in all footers. Portal hierarchy complete. Completeness 9.5->10.
maint1	10.0	+0.0	keep	MAINTENANCE: Full regression check. 10/10 pages 200. Both models: all JS functions defined, DCF/SOTP/scenarios working, implied multiples rendering, zero console errors. AMZN blend=$232, NOW blend=$215. No regressions detected.
maint2	10.0	+0.0	keep	MAINTENANCE: Performance + CDN check. TTFB 17-19ms, page load 281-567ms, all pages under 70KB. Chart.js v4.4.7 loading reliably, 2 charts per model rendering at 512x256. No performance or CDN issues.
